Date,Partenaire,UC,SER,PLAT,CRT,IMP,Fax,Photocop,Onduleurs,Pc portable,Tel,GSM,Claviers,Souris,Switch,Routeur,V-Projecteur,Cable,Tonner,Scanner,Divers
2024-09-05,awb,60,16,85,1,17,11,3,30,131,48,25,69,78,5,43,1,0,0,7,21
2024-09-18,awb,91,44,67,12,26,2,1,27,26,93,16,21,22,35,84,1,0,0,1,113
2024-09-26,awb,16,7,27,3,30,10,3,40,145,60,25,68,90,2,15,1,0,0,10,9
2024-10-03,BMCE,2,22,4,2,64,11,3,33,125,30,25,72,80,21,43,1,0,0,25,4
2024-10-02,awb,39,44,50,12,28,2,1,26,14,93,18,30,28,29,84,1,0,0,1,46
2024-10-09,la bourse,29,52,40,12,24,2,1,27,14,93,13,19,28,30,98,1,0,0,1,42
2024-10-14,Domaine (TPI ANFA),34,1,31,4,42,11,3,2,128,91,25,50,77,1,15,1,0,0,7,11
2024-02-16,Univers Digital,99,39,78,12,30,2,2,26,21,99,4,4,19,1,70,1,0,0,1,216
2024-10-17,AWB,13,2,116,2,7,12,3,40,145,36,25,71,80,6,15,1,0,0,10,10
2024-10-23,Domaine Aljadida,56,21,26,9,24,2,2,24,34,78,25,67,73,6,57,1,0,0,7,15
2024-10-23,Trésorerie provinciale el jadida,18,3,19,8,35,2,2,32,82,74,25,62,60,4,1,1,0,0,6,25
2024-10-25,MENPS,42,30,23,10,19,1,1,24,14,78,20,43,47,10,98,1,0,0,7,15
2024-10-29,cours d'appel Ain sabaa casablanca,23,2,19,3,17,12,4,40,145,36,25,72,84,4,15,1,0,0,10,7
2024-10-31,awb,7,2,32,7,23,1,2,32,80,86,22,60,67,1,29,1,0,0,5,7
2024-11-05,apsir,1,1,45,5,14,10,3,25,145,51,20,5,48,19,29,1,0,0,7,9
2024-11-08,awb,6,18,7,1,46,9,3,40,142,80,25,120,120,1,43,1,0,0,6,6
2024-11-14,awb,2,2,4,3,4,9,2,31,145,42,25,76,90,1,15,1,0,0,8,7
2024-12-05,awb,5,2,19,2,5,8,2,50,145,1,25,68,90,2,15,1,0,0,11,6
2024-12-06,Group 3 archetique,4,2,7,2,11,12,3,40,145,10,25,79,80,16,15,1,0,0,16,4
2024-12-06,domaine cours d'appel ,52,44,34,10,53,2,1,26,2,89,16,17,19,35,84,1,0,0,1,86
2024-12-12,awb,1,15,5,3,11,12,3,40,145,24,25,79,84,5,15,1,0,0,10,7
2024-12-19,awb,4,20,9,2,11,5,2,41,98,32,25,71,78,4,43,1,0,0,8,5
2024-12-26,awb,21,16,33,2,26,9,2,40,145,75,25,74,90,2,43,1,0,0,8,8
2024-12-27,AFMA,22,3,6,2,10,12,3,40,145,3,25,76,82,22,15,1,0,0,16,2
2024-12-30,INTELCOM,7,26,4,10,6,1,1,27,17,30,16,12,38,60,140,1,0,0,3,4
